Item Code,Item Description-English,Item Description-Arabic,Price,Image Filename
114226,PREMIUM PETIT FOUR OPEN TART MISTIKA KG,,140,114226.jpg
114228,PREMIUM PETIT FOUR OPEN TART CARAMEL LOGO,,140,114228.jpg
114249,PREMIUM PETIT FOUR CUP PINK CHOCOLATE WITH ROSE KG,,140,114249.jpg
114636,PREMIUM BELGIUM LOLLIPOP WHITE HEART HAZELNUT CREAM WITH NUTS PCS,,4.76,114636.jpg
114692,PREMIUM BELGIUM OPEN WHITE-BLUE CARAMEL WITH MIX JANDOYA KGS,,160,114692.jpg
114726,PREMIUM CHOCOLATE MACARON OPEN OFF-WHITE ALMOND WITH CARAMEL KG,,157.14,114726.jpg
114727,PREMIUM CHOCOLATE MACARON OPEN TIFFANY PISTACHIO NUTS WITH PISTACHIO CREAM KGS,,157.14,114727.jpg
114728,PREMIUM CHOCOLATE MACARON OPEN ORANGE HAZELNUT NUTS WITH HAZELNUT CREAM KGS,,157.14,114728.jpg
114732,PREMIUM PETIT FOUR OPEN BISCUIT DATES WITH COFFEE KGS,,140,114732.jpg
114733,PREMIUM BELGIUM OPEN GRAY HAZELNUT CREAM WITH WAFER KGS,,130,114733.jpg
114734,PREMIUM PASTEL CONE OPEN CORN FLAKES GRAY,,170,114734.jpg
114735,PREMIUM PASTEL CONE OPEN HAZELNUT CREAM WITH NUTS KGS,,170,114735.jpg
114736,PREMIUM BELGIUM OPEN BROWN ALMOND NUTS WITH NEW NAUGA KGS,,130,114736.jpg
114743,PREMIUM BELGIUM OPEN BROWN FINGER CORNFLAKES KG,,130,114743.jpg
114786,PREMIUM OPEN DATES WITH ORANGE STICK KGS,,140,114786.jpg
114787,PREMIUM OPEN DATES WITH GINGER KGS,,140,114787.jpg
114791,PREMIUM PETIT FOUR OPEN BISCUIT WITH SAFFRON AND CHOCO KGS,,140,114791.jpg
114792,PREMIUM PETIT FOUR OPEN BISCUIT ZAFFRON AND PISTACHIO KGS,,140,114792.jpg
114919,PREMIUM BAKLAWA WRAPPED PISTACHIO CREAM WITH WHITE WALNUT KGS,,160,114919.jpg
114927,PREMIUM BAKLAWA WRAPPED SQUARE LOTUS WITH PISTACHIO KGS,,160,114927.jpg
115086,PREMIUM PETIT FOUR OPEN CHEESE POMEGRANATE KGS,,140,115086.jpg
115116,PREMIUM PETIT FOUR OPEN CUP BISCUIT WITH KUNAFA CREAM KGS,,140,115116.jpg
115117,PREMIUM PETIT FOUR OPEN HEART ALMOND SLICE KGS,,140,115117.jpg
115118,PREMIUM PETIT FOUR OPEN GHURAIBA ZAFRAN KGS,,140,115118.jpg
115119,PREMIUM PETIT FOUR OPEN PRALINE HAZELNUT SESAME KGS,,140,115119.jpg
115120,PREMIUM PETIT FOUR OPEN ULKER CHOCOLATE KGS,,140,115120.jpg
115136,PREMIUM BELGIUM OPEN YELLOW KUNAFA PISTACHIO KGS,,130,115136.jpg
115137,PREMIUM BELGIUM OPEN WHITE KUNAFA PISTACHIO KGS,,130,115137.jpg
